Year,Position,Artist,Song
1996,61,Def FX,I'll Be Your Majick
1996,62,Metallica,Hero of the Day
1996,63,Bad Religion,Punk Rock Song
1996,64,Angelique Kidjo,Wombo Lombo
1996,65,Goldfinger,Here in Your Bedroom
1996,66,Frente!,What's Come Over Me
1996,67,Crowded House,Everything Is Good for You
1996,68,Mullen/Clayton,Mission Impossible
1996,69,Insurge,Speculator
1996,70,Deadstar,Don't It Get You Down
1996,71,Pulp,Disco 2000
1996,72,Frenzal Rhomb,Punch in the Face
1996,73,Hole,Gold Dust Woman
1996,74,Ministry,Lay Lady Lay
1996,75,Midnight Oil,Surf's Up Tonight
1996,76,Spacehog,In the Meantime
1996,77,Soundgarden,Burden in My Hand
1996,78,OMC,How Bizarre
1996,79,The Whitlams,I Make Hamburgers
1996,80,You Am I,Soldiers
1996,81,The Superjesus,Shut My Eyes
1996,82,Luscious Jackson,Naked Eye
1996,83,Hoodoo Gurus,Waking Up Tired
1996,84,You Am I,Good Mornin'
1996,85,Ash,Goldfinger
1996,86,Neneh Cherry,Woman
1996,87,R.E.M.,E-Bow the Letter
1996,88,Hunting Party,Grooving
1996,89,Snout,Cromagnon Man
1996,90,Pearl Jam,Leaving Here
1996,91,Barry Adamson,Set the Controls
1996,92,The Mavis's,Thunder
1996,93,Skunk Anansie,All I Want
1996,94,Pearl Jam,Mankind
1996,95,Frank Bennett,Creep
1996,96,Matthew Trapnell,Ella's Uncle
1996,97,AC/DC,Hail Caesar
1996,98,Tori Amos,Professional Widow
1996,99,Republica,Ready to Go
1996,100,Ben Harper,Gold to Me
1997,1,The Whitlams,No Aphrodisiac
1997,2,Blur,Song 2
1997,3,Chumbawamba,Tubthumping
1997,4,The Verve,Bitter Sweet Symphony
1997,5,Pauline Pantsdown,Backdoor Man
1997,6,Blink-182,Dammit (Growing Up)
1997,7,Radiohead,Paranoid Android
1997,8,Marilyn Manson,The Beautiful People
1997,9,Radiohead,Karma Police
1997,10,Jebediah,Leaving Home
1997,11,Smash Mouth,Walkin' on the Sun
