,artist,song_url,track
203,The Foo Fighters,https://genius.com/Foo-fighters-learn-to-fly-lyrics,Learn To Fly
204,Sonic Animation,XX-,Theophilus Thistler (An Exercise In Vowels)
205,Peter Helliar,XX-,Bevan The Musical
206,Bodyjar,https://genius.com/Bodyjar-a-hazy-shade-of-winter-lyrics,Hazy Shade Of Winter
207,The Fauves,https://genius.com/Fauves-the-bigger-than-tina-lyrics,Bigger Than Tina
208,Regurgitator,https://genius.com/Regurgitator-i-wanna-be-a-nudist-lyrics,I Want To Be A Nudist
209,Regurgitator,https://genius.com/Regurgitator-happiness-lyrics,Happiness (Rotting My Brain)
210,Bob Marley/Funkstar De Luxe,https://genius.com/Bob-marley-vs-funkstar-de-luxe-sun-is-shining-lyrics,Sun Is Shining
211,Elliott Smith,https://genius.com/Elliott-smith-waltz-no-2-xo-lyrics,Waltz #2
212,The Bloodhound Gang,https://genius.com/Bloodhound-gang-foxtrot-uniform-charlie-kilo-lyrics,Foxtrot Uniform Charlie Kilo
213,DVDA (from Team America: World Police),https://genius.com/Team-america-america-fuck-yeah-lyrics,"America, Fuck Yeah"
214,System of a Down,https://genius.com/System-of-a-down-radio-video-lyrics,Radio/Video
215,Clare Bowditch,https://genius.com/Clare-bowditch-and-the-feeding-set-divorcee-by-23-lyrics,Divorcee By 23
216,The Beautiful Girls,https://genius.com/The-beautiful-girls-and-well-dance-on-the-ashes-of-whats-left-lyrics,Ashes
217,After The Fall,https://genius.com/Keith-urban-the-fighter-lyrics,The Fighter
218,Scissor Sisters,https://genius.com/Scissor-sisters-filthy-gorgeous-lyrics,Filthy/Gorgeous
219,Clare Bowditch,https://genius.com/Clare-bowditch-and-the-feeding-set-on-this-side-lyrics,On This Side
220,The Wrights,https://genius.com/Stevie-wright-evie-part-one-lyrics,Evie Pt. 1
221,Severed Heads,https://genius.com/Severed-heads-dead-eyes-opened-radio-edit-lyrics,Dead Eyes Opened {1994 Remix}
222,Nick Barker,https://genius.com/Genius-may-2020-singles-release-calendar-annotated,Time Bomb
223,Itch-E and Scratch-E,XX-,Sweetness & Light
224,Dave Pike Set,https://genius.com/Dave-pike-mathar-lyrics,Mathar
225,Weezer,https://genius.com/Weezer-undone-the-sweater-song-lyrics,Undone - The Sweater Song
226,Falling Joys,https://genius.com/Falling-joys-amen-lyrics,Amen {Remix}
227,Tumbleweed,https://genius.com/Eminem-eminem-freestyles-on-tim-westwood-2009-lyrics,Daddy Long Legs
228,Penny Flanagan,XX-,Lap It Up
229,Pale,https://genius.com/Coldplay-yellow-lyrics,Lemon Sparked
230,Swoop,XX-,Neighbourhood Freak
231,Sisters Underground,https://genius.com/Nwa-straight-outta-compton-lyrics,In The Neighbourhood
232,Page and Plant,https://genius.com/Led-zeppelin-gallows-pole-lyrics,Gallows Pole
233,Blur,https://genius.com/Blur-girls-and-boys-lyrics,Girls & Boys {Remix}
234,Hunters & Collectors,https://genius.com/Hunters-and-collectors-throw-your-arms-around-me-lyrics,Throw Your Arms Around Me
235,Art Of Noise and Tom Jones,https://genius.com/Art-of-noise-kiss-lyrics,Kiss
236,Machinations,https://genius.com/Marcel-proust-seascape-with-frieze-of-girls-chapter-3-lyrics,Average Inadequacy
237,Enya,https://genius.com/Enya-orinoco-flow-sail-away-lyrics,Orinoco Flow
238,Grandmaster Flash,https://genius.com/Grandmaster-flash-and-the-furious-five-the-message-lyrics,The Message
239,Outline,XX-,Cicada That Ate Five Dock
240,Baby Bird,https://genius.com/Babybird-youre-gorgeous-lyrics,You're Gorgeous
241,The Eels,https://genius.com/Eels-susans-house-lyrics,Susan's House
242,Rebecca's Empire,https://genius.com/Rebecca-sugar-love-like-you-end-credits-lyrics,So Rude
243,Def FX,https://genius.com/Dub-fx-free-my-soul-live-in-italy-lyrics,I'll Be Your Majick
244,Insurge,XX-,Speculator
245,Hunters & Collectors,https://genius.com/Hunters-and-collectors-throw-your-arms-around-me-lyrics,Throw Your Arms Around Me
246,Salmon Hater,XX-,6.66
247,Simian Mobile Disco,XX-,Audacity of Huge {ft. Chris Keating}
248,Hunters & Collectors,https://genius.com/Hunters-and-collectors-throw-your-arms-around-me-lyrics,Throw Your Arms Around Me
249,Pendulum,XX-,ABC News Theme Remix
250,Andy Bull,XX-,Dog {ft. Lisa Mitchell}
251,Christine Anu & Paul Kelly,XX-,Last Train
252,Mixed Relations,XX-,Aboriginal Woman
253,Josh Abrahams & Amiel Daemion,XX-,Addicted to Bass
254,Pollyanna,XX-,Cinnamon Lip
255,Your Wedding Night,XX-,Lachlan
256,The Panda Band,XX-,Sleepy Little Deathtoll Town
257,Hunters & Collectors,https://genius.com/Hunters-and-collectors-throw-your-arms-around-me-lyrics,Throw Your Arms Around Me
258,Pendulum {Melbourne},XX-,Coma
259,Robyn Loau,XX-,Sick With Love
260,The Mark of Cain,XX-,Degenerate Boy
261,Beaverloop,XX-,Nothing
262,Skunkhour,XX-,Weightlessness
263,Big Heavy Stuff,XX-,Hibernate
264,Pnau,https://genius.com/Pnau-baby-lyrics,Baby
